iter	RMSE
192	3.930884931
193	3.930182342
194	3.929469226
195	3.928748746
196	3.928222644
197	3.927671876
198	3.927184501
199	3.92605625
200	3.925467258
201	3.924786325
202	3.924035683
203	3.923364827
204	3.922776996
205	3.922428573
206	3.921726143
207	3.921211141
208	3.920776566
209	3.920220079
210	3.919924833
211	3.919306619
212	3.918851198
213	3.918329254
214	3.917770751
215	3.916415361
216	3.916022126
217	3.915436288
218	3.914761812
219	3.914203647
220	3.913470023
221	3.912953056
222	3.912257493
223	3.91084671
224	3.910230093
225	3.909700331
226	3.909185009
227	3.908440814
228	3.907809426
229	3.907298117
230	3.906763
231	3.906157443
232	3.905476102
233	3.904751693
234	3.904011708
235	3.903484831
236	3.902935497
237	3.902345914
238	3.901863233
239	3.901320382
240	3.900861462
241	3.900328592
242	3.89968105
243	3.899064533
244	3.898477603
245	3.898104317
246	3.897472619
247	3.897115719
248	3.896554667
249	3.896092066
250	3.895625408
251	3.895156763
252	3.894608473
253	3.893580462
254	3.893138412
255	3.892546068
256	3.891959678
257	3.891487876
258	3.890723373
259	3.890396863
260	3.889828891
261	3.889169236
262	3.888357629
263	3.887859528
264	3.887426814
265	3.887085209
266	3.88651158
267	3.886001821
268	3.885274604
269	3.884489177
270	3.883955593
271	3.883187087
272	3.8826549
273	3.881282838
274	3.880809363
275	3.880011854
276	3.879320425
277	3.878458176
278	3.877923868
279	3.877063102
280	3.875856342
281	3.875119441
282	3.874585083
283	3.874189974
284	3.873637995
285	3.87301971
286	3.871890989
287	3.871420211
288	3.871000895
289	3.87046322
290	3.869943152
291	3.869346895
292	3.868817715
293	3.868251048
294	3.86766076
295	3.867185957
296	3.8664588
297	3.865724798
298	3.864959149
299	3.86453018
300	3.863989961
301	3.863627495
302	3.8629904
303	3.862252379
304	3.861183287
305	3.860773228
306	3.860326211
307	3.859747637
308	3.859330836
309	3.858941845
310	3.8583985
311	3.857773998
312	3.857116929
313	3.856666757
314	3.856239073
315	3.85561571
316	3.855013171
317	3.854624261
318	3.85412301
319	3.853652846
320	3.852829556
321	3.852273498
322	3.851419715
323	3.851024563
324	3.850333859
325	3.849962018
326	3.849276903
327	3.848655683
328	3.848114742
329	3.847628042
330	3.847063172
331	3.846606615
332	3.846023218
333	3.845526938
334	3.844905371
335	3.844416885
336	3.843813006
337	3.843297831
338	3.84288365
339	3.842379535
340	3.841968796
341	3.84148882
342	3.840958138
343	3.840645459
344	3.840191545
345	3.839780902
346	3.839410647
347	3.838856364
348	3.838260895
349	3.837671142
350	3.837068423
351	3.836655393
352	3.835721738
353	3.835309875
354	3.834984364
355	3.834396591
356	3.833793562
357	3.833484651
358	3.833219067
359	3.832628184
360	3.832069134
361	3.831515598
362	3.831145921
363	3.830737791
364	3.830222089
365	3.829725174
366	3.829188808
367	3.828586732
368	3.827983019
369	3.827351768
370	3.826844451
371	3.826298627
372	3.82583609
373	3.825147397
374	3.824707038
375	3.824405522
376	3.823813674
377	3.823224536
378	3.82279256
379	3.822560213
380	3.822167161
381	3.821527182
382	3.821116975
383	3.820618072
384	3.820110788
385	3.819424547
386	3.81904839
387	3.818475909
388	3.817910229
389	3.817079802
390	3.816580694
391	3.816060345
392	3.815627094
393	3.815146603
394	3.814620784
395	3.814352311
396	3.813810302
397	3.813216889
398	3.812710729
399	3.81229678
400	3.811820669
401	3.811276073
402	3.810856288
403	3.810195218
404	3.809980866
405	3.809489497
406	3.80909419
407	3.808456879
408	3.807821483
409	3.807346856
410	3.807014294
411	3.806631641
412	3.806213187
413	3.805809099
414	3.805407909
415	3.804807837
416	3.804429406
417	3.803986807
418	3.803511507
419	3.802975618
420	3.802713644
421	3.802258108
422	3.802008708
423	3.801646039
424	3.801081281
425	3.8006005
426	3.800082584
427	3.799710853
428	3.799220591
429	3.798820968
430	3.798486275
431	3.797791857
432	3.797608901
433	3.797322342
434	3.796797392
435	3.796440431
436	3.795912089
437	3.795529135
438	3.795015145
439	3.794631266
440	3.794117294
441	3.793684099
442	3.793106104
443	3.79256201
444	3.79217529
445	3.791569348
446	3.791105274
447	3.790818249
448	3.790354383
449	3.789927527
450	3.789543563
451	3.789147699
452	3.788787631
453	3.788410792
454	3.78790146
455	3.787538175
456	3.78713101
457	3.786918582
458	3.786657233
459	3.785967235
460	3.785623886
461	3.785105685
462	3.784844687
463	3.784450062
464	3.78401073
465	3.783498929
466	3.782941032
467	3.782553939
468	3.782225701
469	3.781727993
470	3.781457461
471	3.780908785
472	3.780439014
473	3.780103873
474	3.779697084
475	3.779147485
476	3.778690222
477	3.778300979
478	3.777860649
479	3.777398957
480	3.776972085
481	3.776525798
482	3.775969665
483	3.775570922
484	3.775136888
485	3.774717115
486	3.774339915
487	3.773732534
488	3.773165641
489	3.772899687
490	3.772353253
491	3.772032012
492	3.771535819
493	3.771335859
494	3.770736046
495	3.770384127
496	3.770108908
497	3.769672645
498	3.768769613
499	3.768483177
500	3.767914958
501	3.767341295
502	3.767122002
503	3.766859885
504	3.76640755
505	3.766070442
506	3.765564201
507	3.765269984
508	3.764735188
509	3.764148952
510	3.763800392
511	3.763305314
512	3.762913147
513	3.762555998
514	3.762142501
515	3.761762496
516	3.761409551
517	3.761003568
518	3.760613688
519	3.760210626
520	3.759923943
521	3.759504103
522	3.75915944
523	3.758741582
524	3.758264968
525	3.757759273
526	3.757325072
527	3.756853316
528	3.756410564
529	3.756067141
530	3.755682906
531	3.755375105
532	3.754996793
533	3.754778983
534	3.754361879
535	3.753841005
536	3.753533459
537	3.753099373
538	3.752712056
539	3.752329612
540	3.751954595
541	3.751353516
542	3.750842493
543	3.75062685
544	3.750388851
545	3.750233034
546	3.750050883
547	3.749723033
548	3.749316372
549	3.748935997
550	3.748393612
551	3.748205308
552	3.747998363
553	3.747869721
554	3.747561046
555	3.747210045
556	3.746796999
557	3.74624325
558	3.745755907
559	3.745251123
560	3.744983981
561	3.744649919
562	3.744336609
563	3.743956653
564	3.743623096
565	3.743228166
566	3.742795579
567	3.742354679
568	3.741975032
569	3.74146701
570	3.741113732
571	3.740844929
572	3.740521398
573	3.740278884
574	3.739848226
575	3.739478115
576	3.738927477
577	3.738473886
578	3.73820137
579	3.737849412
580	3.737492687
581	3.736943022
582	3.736679668
583	3.736168182
584	3.735931193
585	3.735475906
586	3.735053143
587	3.734828098
588	3.734465601
589	3.734116051
590	3.733797398
591	3.733485114
592	3.733150996
593	3.732899675
594	3.732588596
595	3.732168323
596	3.731940885
597	3.731637589
598	3.731427152
599	3.731173328
600	3.730967576
601	3.730476304
602	3.730098875
603	3.729533941
604	3.728974075
605	3.728476869
606	3.72817938
607	3.72776585
608	3.727369646
609	3.726897472
610	3.726446142
611	3.726296548
612	3.726032892
613	3.72558698
614	3.725171357
615	3.724845125
616	3.724634709
617	3.724296067
618	3.723879355
619	3.723562915
620	3.72327191
621	3.722687156
622	3.72229143
623	3.722041154
624	3.721518275
625	3.721107839
626	3.720691033
627	3.720268366
628	3.719817447
629	3.719388772
630	3.718967346
631	3.718673511
632	3.718363033
633	3.718109547
634	3.717807482
635	3.717424371
636	3.716971183
637	3.716618209
638	3.716311401
639	3.71590657
640	3.715623561
641	3.715312102
642	3.715045148
643	3.714986137
644	3.71471796
645	3.714441018
646	3.714187184
647	3.713777265
648	3.713405447
649	3.712958091
650	3.712707993
651	3.712484329
652	3.711920497
653	3.71175783
654	3.711557524
655	3.711073261
656	3.710624461
657	3.710455559
658	3.710150368
659	3.70962177
660	3.70946503
661	3.709115151
662	3.70860043
663	3.708117441
664	3.707711464
665	3.707376904
666	3.707158541
667	3.706799935
668	3.706413607
669	3.705839251
670	3.70521079
671	3.704748617
672	3.704412833
673	3.703961733
674	3.703526021
675	3.703065221
676	3.702741881
677	3.702333203
678	3.701975871
679	3.701537824
680	3.701116554
681	3.700664173
682	3.700370435
683	3.699909592
684	3.699460961
685	3.699158517
686	3.698775855
687	3.698484145
688	3.698146745
689	3.697405717
690	3.697044099
691	3.69670706
692	3.696545767
693	3.696338089
694	3.695793391
695	3.695398996
696	3.694916481
697	3.694666976
698	3.694110364
699	3.693805866
700	3.693411482
701	3.693082018
702	3.692812442
703	3.692267871
704	3.691764396
705	3.691315344
706	3.691118863
707	3.690754702
708	3.690294798
709	3.689993303
710	3.689752009
711	3.68945809
712	3.689069143
713	3.688782289
714	3.688394473
715	3.688000437
716	3.687715878
717	3.687473734
718	3.687072076
719	3.686734947
720	3.686397494
721	3.685884318
722	3.685581361
723	3.685087171
724	3.684579388
725	3.684246452
726	3.683993095
727	3.68372843
728	3.683323701
729	3.683204565
730	3.683001129
731	3.682668096
732	3.68228129
733	3.682108756
734	3.681765194
735	3.681393952
736	3.681007712
737	3.680543866
738	3.680173133
739	3.67997032
740	3.679598478
741	3.679143124
742	3.678817055
743	3.678482989
744	3.677958562
745	3.677796326
746	3.677570886
747	3.677269702
748	3.676988316
749	3.67666892
750	3.676398297
751	3.675988428
752	3.675660449
753	3.675397219
754	3.675106452
755	3.674598406
756	3.674028903
757	3.673730117
758	3.673598788
759	3.673249255
760	3.673122494
761	3.672726471
762	3.672330468
763	3.672153568
764	3.671923136
765	3.671707303
766	3.671234998
767	3.670734018
768	3.670467377
769	3.670246967
770	3.669927666
771	3.669626729
772	3.669348949
773	3.668983574
774	3.668614013
775	3.668127269
776	3.667879331
777	3.667605805
778	3.66728508
779	3.667062387
780	3.666627743
781	3.666084928
782	3.665899001
783	3.665685535
784	3.665379496
785	3.665140934
786	3.664905013
787	3.664561685
788	3.664307622
789	3.663945703
790	3.663666259
791	3.663287831
792	3.663000074
793	3.662504732
794	3.662224016
795	3.661896606
796	3.66164219
797	3.661120573
798	3.660836792
799	3.660608884
800	3.660311212
801	3.660120964
802	3.659783059
803	3.659536826
804	3.659196979
805	3.659038929
806	3.658741906
807	3.658476558
808	3.658007312
809	3.657549362
810	3.657183564
811	3.656927916
812	3.65664809
813	3.656122923
814	3.655763159
815	3.655412261
816	3.655215195
817	3.654984209
818	3.654741363
819	3.654367085
820	3.65403436
821	3.653581037
822	3.65336688
823	3.653007419
824	3.65264429
825	3.652097807
826	3.651909735
827	3.651844807
828	3.651375565
829	3.650985926
830	3.650622139
831	3.650377869
832	3.650266495
833	3.649795357
834	3.649459848
835	3.649059505
836	3.648692865
837	3.648158439
838	3.647839775
839	3.647416729
840	3.647074827
841	3.646553483
842	3.646018353
843	3.645766194
844	3.645584461
845	3.645219554
846	3.644822062
847	3.644367176
848	3.644108237
849	3.643807381
850	3.643293352
851	3.642920611
852	3.642520802
853	3.642019214
854	3.641793688
855	3.641366298
856	3.640965183
857	3.64060153
858	3.640187697
859	3.639694782
860	3.639439692
861	3.639059596
862	3.638874386
863	3.638460285
864	3.638023155
865	3.637706916
866	3.637475668
867	3.63711504
868	3.636740187
869	3.636310168
870	3.636069238
871	3.635783127
872	3.635537111
873	3.634928918
874	3.634460098
875	3.634169309
876	3.633776301
877	3.633526591
878	3.633164671
879	3.632915778
880	3.632638561
881	3.632397511
882	3.632118822
883	3.631808099
884	3.631481714
885	3.631219734
886	3.630872544
887	3.630679299
888	3.630464832
889	3.630188408
890	3.629799291
891	3.629533468
892	3.629326394
893	3.629127336
894	3.628832646
895	3.628612786
896	3.628379097
897	3.628058755
898	3.627770216
899	3.627541801
900	3.627296553
901	3.62692721
902	3.626445713
903	3.626092587
904	3.625825543
905	3.625621094
906	3.62524597
907	3.624934568
908	3.624681298
909	3.624257532
910	3.624077055
911	3.623679088
912	3.623391262
913	3.623174855
914	3.622955154
915	3.622534533
916	3.622094383
917	3.621842572
918	3.621547974
919	3.621112543
920	3.620915946
921	3.620873024
922	3.620541747
923	3.620334874
924	3.620244079
925	3.619753378
926	3.619329705
927	3.618816734
928	3.618414182
929	3.617987123
930	3.617632051
931	3.617193929
932	3.616893696
933	3.616671385
934	3.616389906
935	3.616121267
936	3.616057923
937	3.615685417
938	3.615506945
939	3.615273809
940	3.61496291
941	3.614773661
942	3.614446619
943	3.614105422
944	3.613935367
945	3.613304931
946	3.612978815
947	3.612772088
948	3.612406338
949	3.61206387
950	3.611900616
951	3.611652958
952	3.611325133
953	3.611093336
954	3.610824591
955	3.610542368
956	3.610347167
957	3.60976753
958	3.609416543
959	3.609247402
960	3.608836373
961	3.608578665
962	3.608332961
963	3.608062222
964	3.607682314
965	3.60735804
966	3.607054252
967	3.606818418
968	3.606467348
969	3.606074267
970	3.605534418
971	3.605252899
972	3.605042495
973	3.604859242
974	3.6045539
975	3.604388558
976	3.604171397
977	3.603729885
978	3.603297586
979	3.60300893
980	3.602782823
981	3.602507537
982	3.60233004
983	3.601958183
984	3.601580939
985	3.601272939
986	3.600865866
987	3.600590264
988	3.600272761
989	3.599729457
990	3.599455262
991	3.599233702
992	3.598815593
993	3.598537171
994	3.59810917
995	3.59786951
996	3.597718377
997	3.597421518
998	3.596995798
999	3.596560719
