iter	Passed	Remaining
399	51009	76513
400	51111	76349
401	51248	76234
402	51387	76124
403	51527	76015
404	51658	75893
405	51753	75718
406	51855	75553
407	52018	75477
408	52130	75327
409	52231	75163
410	52351	75023
411	52463	74874
412	52598	74758
413	52722	74626
414	52851	74501
415	52987	74385
416	53089	74223
417	53197	74069
418	53326	73944
419	53453	73816
420	53590	73703
421	53719	73577
422	53849	73454
423	53978	73329
424	54115	73214
425	54243	73088
426	54375	72967
427	54501	72838
428	54608	72684
429	54745	72569
430	54881	72453
431	55016	72336
432	55138	72202
433	55232	72031
434	55340	71878
435	55490	71780
436	55617	71653
437	55748	71530
438	55885	71416
439	55983	71252
440	56119	71136
441	56258	71023
442	56364	70869
443	56470	70714
444	56613	70607
445	56756	70499
446	56905	70399
447	57041	70283
448	57182	70173
449	57281	70010
450	57416	69892
451	57553	69777
452	57675	69643
453	57772	69479
454	57914	69370
455	58046	69248
456	58143	69085
457	58285	68975
458	58411	68847
459	58547	68729
460	58653	68577
461	58787	68457
462	58884	68295
463	58984	68137
464	59128	68029
465	59229	67871
466	59332	67718
467	59430	67557
468	59523	67392
469	59622	67233
470	59720	67074
471	59860	66962
472	59984	66832
473	60116	66712
474	60247	66589
475	60388	66478
476	60478	66310
477	60607	66186
478	60709	66032
479	60804	65871
480	60945	65759
481	61046	65606
482	61176	65482
483	61304	65357
484	61403	65201
485	61534	65079
486	61682	64975
487	61777	64815
488	61916	64702
489	62052	64585
490	62152	64430
491	62285	64311
492	62426	64199
493	62583	64103
494	62721	63988
495	62817	63830
496	62948	63708
497	63075	63581
498	63217	63471
499	63341	63341
500	63445	63192
501	63582	63075
502	63712	62952
503	63850	62836
504	63990	62723
505	64144	62623
506	64270	62495
507	64410	62381
508	64524	62242
509	64659	62123
510	64786	61997
511	64917	61874
512	65037	61741
513	65133	61585
514	65273	61470
515	65418	61361
516	65527	61218
517	65655	61092
518	65797	60980
519	65933	60861
520	66071	60745
521	66205	60625
522	66356	60520
523	66449	60362
524	66551	60212
525	66699	60105
526	66802	59957
527	66955	59853
528	67060	59707
529	67163	59560
530	67257	59404
531	67364	59260
532	67502	59143
533	67635	59022
534	67768	58901
535	67866	58749
536	67999	58628
537	68134	58509
538	68267	58388
539	68392	58260
540	68528	58141
541	68627	57991
542	68725	57840
543	68823	57690
544	68980	57589
545	69083	57443
546	69210	57317
547	69306	57165
548	69433	57039
549	69527	56885
550	69670	56773
551	69811	56658
552	69937	56531
553	70061	56403
554	70193	56280
555	70286	56128
556	70384	55979
557	70484	55831
558	70581	55682
559	70715	55562
560	70846	55439
561	70973	55314
562	71121	55204
563	71225	55060
564	71352	54935
565	71489	54817
566	71623	54696
567	71763	54580
568	71898	54460
569	71994	54311
570	72127	54190
571	72256	54065
572	72390	53945
573	72528	53827
574	72630	53683
575	72766	53564
576	72899	53442
577	73030	53319
578	73164	53198
579	73291	53073
580	73386	52924
581	73522	52804
582	73662	52687
583	73814	52580
584	73904	52427
585	74007	52285
586	74101	52136
587	74211	51998
588	74316	51857
589	74420	51715
590	74520	51571
591	74650	51448
592	74776	51321
593	74884	51183
594	75013	51059
595	75147	50938
596	75273	50813
597	75418	50699
598	75508	50548
599	75613	50409
600	75738	50282
601	75876	50164
602	75968	50015
603	76106	49897
604	76202	49751
605	76297	49606
606	76437	49489
607	76534	49344
608	76628	49198
609	76720	49050
610	76857	48932
611	76990	48810
612	77118	48686
613	77225	48548
614	77356	48426
615	77455	48283
616	77554	48141
617	77704	48031
618	77812	47894
619	77911	47752
620	78046	47632
621	78140	47487
622	78238	47344
623	78365	47220
624	78466	47079
625	78593	46955
626	78729	46836
627	78867	46717
628	78968	46577
629	79060	46432
630	79190	46309
631	79283	46164
632	79372	46018
633	79503	45896
634	79631	45772
635	79766	45652
636	79905	45534
637	80036	45412
638	80171	45292
639	80263	45148
640	80364	45008
641	80494	44886
642	80587	44742
643	80683	44601
644	80808	44476
645	80934	44351
646	81063	44227
647	81157	44085
648	81281	43959
649	81376	43818
650	81520	43702
651	81667	43589
652	81764	43448
653	81872	43314
654	81970	43175
655	82088	43046
656	82229	42929
657	82367	42811
658	82491	42685
659	82619	42561
660	82755	42441
661	82896	42324
662	83043	42210
663	83140	42070
664	83287	41956
665	83396	41823
666	83534	41704
667	83666	41582
668	83816	41469
669	83941	41344
670	84077	41224
671	84213	41104
672	84344	40981
673	84477	40860
674	84569	40718
675	84710	40600
676	84835	40475
677	84964	40351
678	85057	40211
679	85190	40089
680	85289	39951
681	85379	39810
682	85521	39692
683	85660	39574
684	85766	39439
685	85857	39299
686	85970	39168
687	86110	39050
688	86243	38928
689	86385	38811
690	86518	38688
691	86617	38552
692	86762	38435
693	86897	38315
694	86994	38177
695	87129	38056
696	87224	37918
697	87358	37797
698	87495	37676
699	87626	37554
700	87759	37432
701	87855	37294
702	87953	37158
703	88086	37036
704	88218	36914
705	88347	36790
706	88470	36664
707	88564	36526
708	88709	36409
709	88809	36274
710	88932	36148
711	89054	36022
712	89178	35896
713	89272	35758
714	89403	35636
715	89533	35513
716	89656	35387
717	89761	35254
718	89858	35118
719	89996	34998
720	90092	34862
721	90226	34740
722	90364	34620
723	90496	34498
724	90588	34361
725	90718	34238
726	90810	34100
727	90937	33976
728	91033	33840
729	91158	33716
730	91255	33580
731	91391	33460
732	91527	33339
733	91683	33226
734	91833	33110
735	91929	32974
736	92036	32843
737	92139	32710
738	92269	32587
739	92404	32466
740	92530	32342
741	92660	32218
742	92798	32098
743	92933	31977
744	93040	31846
745	93165	31721
746	93257	31585
747	93378	31458
748	93512	31337
749	93642	31214
750	93771	31090
751	93900	30967
752	93995	30832
753	94125	30709
754	94261	30588
755	94395	30466
756	94494	30333
757	94592	30199
758	94701	30069
759	94828	29945
760	94938	29816
761	95030	29681
762	95124	29547
763	95254	29424
764	95379	29299
765	95477	29166
766	95569	29032
767	95671	28900
768	95797	28776
769	95886	28641
770	96018	28519
771	96115	28386
772	96233	28260
773	96333	28128
774	96424	27994
775	96557	27872
776	96685	27748
777	96823	27628
778	96952	27505
779	97051	27373
780	97192	27253
781	97317	27129
782	97423	26999
783	97551	26876
784	97690	26755
785	97822	26633
786	97957	26511
787	98084	26388
788	98222	26267
789	98365	26147
790	98494	26024
791	98590	25892
792	98727	25771
793	98866	25650
794	98994	25526
795	99126	25404
796	99251	25279
797	99387	25158
798	99523	25036
799	99647	24911
800	99778	24788
801	99897	24663
802	100041	24543
803	100143	24413
804	100276	24290
805	100418	24170
806	100504	24036
807	100633	23912
808	100764	23789
809	100860	23658
810	100954	23527
811	101087	23404
812	101177	23272
813	101300	23147
814	101430	23024
815	101565	22901
816	101690	22777
817	101818	22653
818	101934	22527
819	102075	22406
820	102168	22275
821	102261	22144
822	102396	22022
823	102497	21892
824	102609	21765
825	102748	21644
826	102842	21513
827	102949	21385
828	103049	21256
829	103177	21132
